timestamp, count, name, pci.bus_id, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2019/01/04 20:28:33.991, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:28:38.992, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:28:43.994, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:28:48.995, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:28:53.996, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:28:58.997, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:29:03.999, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:29:09.000, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:29:14.001, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:29:19.003, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:29:24.004, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:29:29.005, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:29:34.007, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:29:39.008, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:29:44.009, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:29:49.011, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:29:54.012, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:29:59.013, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:30:04.015, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:30:09.016, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:30:14.017, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:30:19.018, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:30:24.020, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:30:29.021, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:30:34.022, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:30:39.023, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:30:44.024, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:30:49.026, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:30:54.027, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:30:59.028, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:31:04.030, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
2019/01/04 20:31:09.031, 2, Tesla V100-SXM2-16GB, 00000000:00:05.0, 16130 MiB, 0 MiB, 0 %, 0 %
