timestamp, count, name, pci.bus_id, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2018/12/25 17:28:13.260, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 35 MiB, 0 %, 4 %
2018/12/25 17:28:14.261, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 685 MiB, 0 %, 0 %
2018/12/25 17:28:15.261, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 2379 MiB, 9 %, 1 %
2018/12/25 17:28:16.261, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 57 %
2018/12/25 17:28:17.262, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 66 %
2018/12/25 17:28:18.262, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 0 %, 0 %
2018/12/25 17:28:19.262, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 66 %, 55 %
2018/12/25 17:28:20.262, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 79 %, 63 %
2018/12/25 17:28:21.263, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 67 %, 54 %
2018/12/25 17:28:22.264, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 92 %, 63 %
2018/12/25 17:28:23.264, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 58 %
2018/12/25 17:28:24.264, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 68 %
2018/12/25 17:28:25.264, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 95 %, 75 %
2018/12/25 17:28:26.265, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 67 %, 54 %
2018/12/25 17:28:27.265, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 68 %, 51 %
2018/12/25 17:28:28.265, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 68 %
2018/12/25 17:28:29.266, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 57 %
2018/12/25 17:28:30.266, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 71 %
2018/12/25 17:28:31.266, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 80 %, 64 %
2018/12/25 17:28:32.267, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 64 %, 53 %
2018/12/25 17:28:33.267, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 81 %, 58 %
2018/12/25 17:28:34.267, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 63 %
2018/12/25 17:28:35.268, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 62 %
