timestamp, count, name, pci.bus_id, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2018/11/29 12:34:56.673, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15368 MiB, 0 %, 0 %
2018/11/29 12:35:01.674, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15368 MiB, 0 %, 0 %
2018/11/29 12:35:06.675, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15368 MiB, 0 %, 0 %
2018/11/29 12:35:11.675, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15368 MiB, 0 %, 0 %
2018/11/29 12:35:16.677, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15368 MiB, 0 %, 0 %
2018/11/29 12:35:21.678, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15368 MiB, 0 %, 0 %
2018/11/29 12:35:26.678, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15368 MiB, 0 %, 0 %
2018/11/29 12:35:31.678, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15368 MiB, 0 %, 0 %
2018/11/29 12:35:36.679, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 4 %, 8 %
2018/11/29 12:35:41.680, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 0 %, 0 %
2018/11/29 12:35:46.681, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 0 %, 0 %
2018/11/29 12:35:51.681, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 0 %, 0 %
2018/11/29 12:35:56.682, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 0 %, 0 %
2018/11/29 12:36:01.683, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 0 %, 0 %
2018/11/29 12:36:06.683, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 0 %, 0 %
2018/11/29 12:36:11.684, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 0 %, 0 %
2018/11/29 12:36:16.685, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 0 %, 0 %
2018/11/29 12:36:21.685, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 78 %, 100 %
2018/11/29 12:36:26.686, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 98 %, 100 %
2018/11/29 12:36:31.687, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 98 %, 100 %
2018/11/29 12:36:36.688, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 37 %, 95 %
2018/11/29 12:36:41.689, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 11 %, 3 %
2018/11/29 12:36:46.689, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 10 %, 3 %
2018/11/29 12:36:51.691, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 0 %, 0 %
2018/11/29 12:36:56.692, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 0 %, 0 %
2018/11/29 12:37:01.692, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 98 %, 100 %
2018/11/29 12:37:06.693, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 99 %, 100 %
2018/11/29 12:37:11.694, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 39 %, 100 %
2018/11/29 12:37:16.695, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 98 %, 100 %
2018/11/29 12:37:21.696, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 32 %, 83 %
2018/11/29 12:37:26.697, 4, Tesla V100-DGXS-16GB, 00000000:08:00.0, 16149 MiB, 15644 MiB, 0 %, 0 %
