timestamp, count, name, pci.bus_id, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2018/11/29 12:53:16.436, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 61 MiB, 0 %, 0 %
2018/11/29 12:53:17.438, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 499 MiB, 1 %, 0 %
2018/11/29 12:53:18.439, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 1601 MiB, 0 %, 0 %
2018/11/29 12:53:19.440, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 1601 MiB, 0 %, 0 %
2018/11/29 12:53:20.440, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 1601 MiB, 0 %, 0 %
2018/11/29 12:53:21.441, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 1601 MiB, 0 %, 0 %
2018/11/29 12:53:22.442, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 2755 MiB, 5 %, 1 %
2018/11/29 12:53:23.443, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 4959 MiB, 100 %, 100 %
2018/11/29 12:53:24.444, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 9055 MiB, 99 %, 100 %
2018/11/29 12:53:25.444, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 9055 MiB, 0 %, 0 %
2018/11/29 12:53:26.445, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 9055 MiB, 0 %, 0 %
2018/11/29 12:53:27.447, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 9055 MiB, 0 %, 0 %
2018/11/29 12:53:28.447, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 9055 MiB, 0 %, 0 %
